Regulon	Size	NES	p.value	FDR
ZHX3	ZHX3	124	3.6	0.000312	0.0111
HIC1	HIC1	274	3.54	0.000404	0.0111
NR1H2	NR1H2	63	3.49	0.000482	0.0111
GTF2F1	GTF2F1	379	3.45	0.000559	0.0111
NPAS1	NPAS1	112	3.35	0.000796	0.0111
GTF2F2	GTF2F2	418	3.27	0.00106	0.0111
RFXANK	RFXANK	425	3.17	0.00155	0.0135
GTF2H4	GTF2H4	329	3.13	0.00175	0.0146
DRAP1	DRAP1	297	3.12	0.0018	0.0148
ERCC2	ERCC2	98	3.12	0.00183	0.0148
ZNF576	ZNF576	213	3.11	0.0019	0.0151
MED28	MED28	909	3.08	0.00209	0.0161
ALX4	ALX4	54	3.06	0.0022	0.0166
DGKQ	DGKQ	47	3	0.00271	0.0187
DAXX	DAXX	432	2.99	0.00281	0.0191
ZBTB17	ZBTB17	27	2.97	0.00298	0.0194
AP5Z1	AP5Z1	182	2.95	0.00318	0.0197
ERCC3	ERCC3	517	2.92	0.0035	0.0214
MSC	MSC	123	2.88	0.00397	0.0234
ATF5	ATF5	51	2.84	0.0045	0.0253
ESRRB	ESRRB	45	2.8	0.00504	0.027
ASCL2	ASCL2	46	2.78	0.00536	0.0284
ZGPAT	ZGPAT	48	2.74	0.0062	0.0321
TRIM25	TRIM25	747	-2.63	0.00843	0.0402
ETV3	ETV3	355	-2.65	0.00806	0.0388
CELF3	CELF3	1064	-2.65	0.00799	0.0388
SOX21	SOX21	419	-2.65	0.00796	0.0388
PER1	PER1	1055	-2.7	0.007	0.0348
KDM4A	KDM4A	158	-2.7	0.00683	0.0343
ETV1	ETV1	238	-2.71	0.00679	0.0343
C1QL1	C1QL1	905	-2.71	0.00673	0.0343
HOXA6	HOXA6	126	-2.75	0.00594	0.0311
HOXA11	HOXA11	777	-2.81	0.00501	0.027
NR2C1	NR2C1	52	-2.83	0.0047	0.0258
FOXN3	FOXN3	1875	-2.83	0.00468	0.0258
MYF6	MYF6	122	-2.85	0.00432	0.0245
RAX	RAX	753	-2.86	0.00424	0.0243
POU6F1	POU6F1	290	-2.88	0.00401	0.0234
DDIT3	DDIT3	735	-2.91	0.00367	0.0219
SP100	SP100	127	-2.91	0.00359	0.0217
FEV	FEV	1427	-2.95	0.00314	0.0197
FOXA2	FOXA2	1035	-2.96	0.00309	0.0196
E2F4	E2F4	1361	-2.97	0.00301	0.0194
SOX2	SOX2	198	-2.98	0.0029	0.0192
CD5	CD5	1454	-2.98	0.00285	0.0191
HIST1H3E	HIST1H3E	248	-3.02	0.00253	0.0178
TFAP2A	TFAP2A	45	-3.02	0.00252	0.0178
BRD8	BRD8	386	-3.04	0.00237	0.0172
DLX6	DLX6	223	-3.04	0.00234	0.0172
SIM2	SIM2	333	-3.04	0.00234	0.0172
HNF1B	HNF1B	958	-3.08	0.00208	0.0161
USF2	USF2	876	-3.13	0.00173	0.0146
NHLH1	NHLH1	466	-3.16	0.00155	0.0135
ELK1	ELK1	1317	-3.17	0.00154	0.0135
TBX5	TBX5	832	-3.19	0.00144	0.0132
TP63	TP63	1138	-3.21	0.00132	0.0124
SP4	SP4	1004	-3.22	0.00126	0.012
NKX3-1	NKX3-1	1470	-3.25	0.00117	0.0114
IL1RL1	IL1RL1	1012	-3.25	0.00117	0.0114
CCRN4L	CCRN4L	1418	-3.25	0.00115	0.0114
KDM5D	KDM5D	1042	-3.27	0.00108	0.0111
ERCC4	ERCC4	649	-3.27	0.00107	0.0111
PKNOX2	PKNOX2	1547	-3.28	0.00104	0.0111
CBL	CBL	841	-3.28	0.00104	0.0111
MECOM	MECOM	921	-3.28	0.00103	0.0111
NR1H4	NR1H4	199	-3.28	0.00102	0.0111
HAND1	HAND1	950	-3.29	0.00102	0.0111
HYAL1	HYAL1	563	-3.3	0.000968	0.0111
RARB	RARB	519	-3.31	0.000921	0.0111
SHOX	SHOX	928	-3.32	0.000911	0.0111
ELK4	ELK4	35	-3.33	0.000879	0.0111
ISL1	ISL1	120	-3.34	0.000834	0.0111
RFX4	RFX4	69	-3.34	0.000833	0.0111
HMGA2	HMGA2	796	-3.35	0.000814	0.0111
TFAP4	TFAP4	1502	-3.35	0.000807	0.0111
NR2E1	NR2E1	235	-3.36	0.000767	0.0111
NR1I2	NR1I2	623	-3.37	0.000741	0.0111
MKL1	MKL1	1079	-3.4	0.000678	0.0111
