Regulon	Size	NES	p.value	FDR
GTF2F1	GTF2F1	29	3.02	0.00251	0.0263
DRAP1	DRAP1	45	2.77	0.00568	0.0377
GTF2F2	GTF2F2	33	2.68	0.00729	0.0426
SCAND1	SCAND1	43	2.65	0.00806	0.046
DAXX	DAXX	44	2.64	0.00839	0.0468
RFXANK	RFXANK	53	2.56	0.0106	0.0519
MED28	MED28	178	2.51	0.012	0.0567
HIC1	HIC1	44	2.43	0.0149	0.0657
SIX5	SIX5	120	2.34	0.0195	0.0845
ERCC3	ERCC3	114	2.33	0.02	0.085
NOC2L	NOC2L	26	2.25	0.0244	0.0971
HR	HR	141	2.21	0.0269	0.104
CRH	CRH	53	2.2	0.0277	0.105
HIVEP1	HIVEP1	57	2.09	0.0362	0.128
EPN1	EPN1	286	2.07	0.0381	0.133
TAF12	TAF12	111	2.07	0.0387	0.133
HOXB3	HOXB3	47	2.03	0.0424	0.142
HAND2	HAND2	166	1.98	0.0475	0.151
ETV7	ETV7	141	1.94	0.0528	0.161
RARA	RARA	45	1.94	0.0528	0.161
ESRRA	ESRRA	258	1.93	0.0532	0.161
TSC22D4	TSC22D4	191	1.93	0.0533	0.161
YBX3	YBX3	212	1.89	0.0586	0.17
FSCN1	FSCN1	26	1.89	0.0589	0.17
TCF15	TCF15	253	1.85	0.0647	0.184
FOXO4	FOXO4	222	1.78	0.075	0.205
NFYB	NFYB	343	1.76	0.0782	0.209
E4F1	E4F1	44	1.73	0.0832	0.22
TFDP1	TFDP1	145	1.65	0.0985	0.251
PUS1	PUS1	29	1.65	0.0997	0.251
MYOD1	MYOD1	38	-1.64	0.1	0.251
HCFC1	HCFC1	183	-1.7	0.0889	0.23
BRF1	BRF1	117	-1.73	0.0843	0.22
EGR4	EGR4	38	-1.77	0.0771	0.208
NR0B2	NR0B2	257	-1.79	0.0742	0.205
ETV3	ETV3	70	-1.82	0.0692	0.193
CELF3	CELF3	446	-1.83	0.0671	0.189
IGHMBP2	IGHMBP2	455	-1.9	0.0581	0.17
CDX4	CDX4	29	-1.91	0.0567	0.169
RARG	RARG	608	-1.98	0.0472	0.151
ADD1	ADD1	76	-2	0.0455	0.148
RAX	RAX	260	-2.02	0.0432	0.143
MAP3K10	MAP3K10	611	-2.03	0.0424	0.142
CDX1	CDX1	429	-2.11	0.0351	0.126
TFEB	TFEB	547	-2.14	0.032	0.116
HOXA11	HOXA11	295	-2.15	0.0316	0.116
SIM2	SIM2	27	-2.16	0.0308	0.115
TRIM25	TRIM25	209	-2.22	0.0262	0.103
PRDM1	PRDM1	422	-2.26	0.0238	0.0965
PER1	PER1	428	-2.28	0.0228	0.0938
PROP1	PROP1	213	-2.3	0.0215	0.0899
SOX21	SOX21	82	-2.45	0.0142	0.0638
NR1I2	NR1I2	113	-2.46	0.0138	0.0629
HNF1B	HNF1B	428	-2.48	0.0132	0.0612
C1QL1	C1QL1	366	-2.52	0.0116	0.0561
REST	REST	433	-2.56	0.0103	0.0519
E2F4	E2F4	637	-2.57	0.0103	0.0519
ERCC4	ERCC4	205	-2.59	0.00973	0.0509
IL1RL1	IL1RL1	470	-2.62	0.00883	0.0471
DDIT3	DDIT3	213	-2.62	0.0087	0.0471
USF2	USF2	247	-2.69	0.00707	0.0423
NHLH1	NHLH1	113	-2.7	0.00692	0.0423
FOXA2	FOXA2	463	-2.73	0.0063	0.0396
AFF1	AFF1	346	-2.73	0.00624	0.0396
CD5	CD5	704	-2.76	0.00571	0.0377
FEV	FEV	683	-2.81	0.00495	0.0345
ZIM2	ZIM2	236	-2.83	0.00464	0.0333
TFAP4	TFAP4	697	-2.85	0.00438	0.0323
ELK1	ELK1	601	-2.86	0.00424	0.0322
CBL	CBL	280	-2.89	0.00383	0.0301
SP4	SP4	450	-2.89	0.0038	0.0301
RARB	RARB	113	-2.9	0.00374	0.0301
NEUROD2	NEUROD2	284	-2.91	0.00359	0.0301
HMGA2	HMGA2	227	-2.95	0.00322	0.0289
HYAL1	HYAL1	131	-2.95	0.00317	0.0289
BRD8	BRD8	50	-2.96	0.00313	0.0289
FOXN3	FOXN3	1009	-2.97	0.00299	0.0289
SPHK2	SPHK2	245	-3.03	0.00242	0.0263
CCRN4L	CCRN4L	687	-3.05	0.00232	0.0263
ZNF3	ZNF3	66	-3.05	0.00226	0.0263
KDM5D	KDM5D	526	-3.07	0.00211	0.0263
TBX5	TBX5	239	-3.11	0.0019	0.0251
HAND1	HAND1	421	-3.11	0.00189	0.0251
ZIC3	ZIC3	82	-3.15	0.00161	0.0237
YLPM1	YLPM1	623	-3.16	0.00159	0.0237
PKNOX2	PKNOX2	836	-3.17	0.00152	0.0237
NKX3-1	NKX3-1	714	-3.2	0.00139	0.0237
ZKSCAN8	ZKSCAN8	95	-3.24	0.00118	0.0229
SHOX	SHOX	401	-3.24	0.00118	0.0229
MKL1	MKL1	420	-3.3	0.00098	0.0224
ANKRD1	ANKRD1	80	-3.38	0.000717	0.018
HIF3A	HIF3A	143	-3.43	0.000595	0.0166
AFF2	AFF2	426	-3.45	0.000562	0.0166
LHX3	LHX3	553	-3.48	0.000494	0.0166
MECOM	MECOM	284	-3.55	0.000391	0.0164
TP63	TP63	513	-3.55	0.000391	0.0164
FOXJ2	FOXJ2	27	-3.56	0.000368	0.0164
TFDP3	TFDP3	544	-3.56	0.000366	0.0164
RXRB	RXRB	203	-3.58	0.000338	0.0164
TBR1	TBR1	30	-3.59	0.000331	0.0164
